Iteration	Best Path Length	Current Path Length	Probability
182	430	490	8,34128110082078E-68
183	430	460	8,464434642238604E-67
184	430	470	1,237203432909277E-66
185	430	470	2,2545905047303346E-66
186	430	470	1,4654432513767316E-66
187	430	510	3,607400575807564E-67
188	430	490	2,416939253803489E-68
189	430	470	2,57192759082666E-68
190	430	460	5,382819556686733E-69
191	430	470	6,600834279509992E-69
192	430	480	2,7018067080948073E-69
193	430	530	7,295687245938669E-70
194	430	470	6,019928987060308E-71
195	430	510	7,953616618730725E-72
196	430	500	1,0676515927281539E-72
197	430	510	9,135977330567524E-74
198	430	470	8,867477949574976E-75
199	430	470	7,81751555434416E-76
200	430	530	1,4288536371593353E-76
201	430	500	7,958401544685628E-74
202	430	480	5,62329232563672E-74
203	430	480	5,975289448669409E-75
204	430	500	8,449400066704327E-69
205	430	530	3,635285267485642E-69
206	430	510	3,481071017443938E-70
207	430	480	3,512724295748777E-71
208	430	470	1,0780617430701473E-70
209	430	520	1,4481765691192018E-67
210	430	500	5,801946745731447E-68
211	430	530	1,0792556860209384E-68
212	430	470	1,2798393845743555E-69
213	430	480	1,4424449456386215E-70
214	430	500	1,170985334712946E-71
215	430	500	2,687330499427021E-72
216	430	500	3,8384605310034346E-73
217	430	500	3,5551160336374246E-74
218	430	480	7,688229041220599E-75
219	430	470	9,074883825271514E-76
220	430	490	4,439552275233167E-74
221	430	510	1,744274829012049E-74
222	430	520	2,0492904971077927E-74
223	430	520	5,957003392575092E-74
224	430	480	1,0774769546812435E-74
225	430	470	1,2052155013780644E-75
226	430	480	3,033934304901873E-76
227	430	530	6,745907215119533E-74
228	430	500	1,0431565743488135E-74
229	430	510	1,9148165748681706E-75
230	430	500	1,763217789894618E-76
231	430	500	2,0574903660929685E-76
232	430	500	5,3723763166733175E-77
233	430	500	3,9851664070572665E-78
234	430	470	4,8697349999674257E-79
235	430	530	2,506218313587417E-78
236	430	470	2,5734708099907126E-79
237	430	480	5,7935937057316075E-80
238	430	470	1,3031314750831885E-80
239	430	500	3,816399778766452E-78
240	430	480	6,998461651654131E-79
241	430	470	9,609653061729442E-80
242	430	500	1,862854760245297E-74
243	430	480	6,271536308688127E-75
244	430	480	1,0143528038701255E-75
245	430	480	6,960021568664617E-77
246	430	490	7,843126686265715E-78
247	430	510	3,746660904180393E-79
248	430	520	4,369049370004628E-80
249	430	500	1,1853328958519263E-80
250	430	500	1,6468000722508822E-81
251	430	490	1,0198519524147575E-82
252	430	530	7,261694902772086E-84
253	430	490	6,616641618624809E-85
254	430	450	4,234703726085983E-86
255	430	460	5,0492137716994835E-87
256	430	520	2,3922894353582362E-88
257	430	520	1,7276279650133917E-89
258	430	450	2,370366925584119E-90
259	430	500	1,8744990732738487E-91
260	430	470	2,250671891005842E-92
261	430	450	2,2230036371181917E-93
262	430	520	3,832979839128806E-94
263	430	490	1,6652683550838726E-95
264	430	520	5,823468264202094E-97
265	430	530	3,890922353415968E-98
266	430	480	1,2946499170418274E-99
267	430	520	8,024205741317776E-101
268	430	530	3,902632577582663E-100
269	430	480	6,36361279703232E-98
270	430	530	4,224824881546017E-99
271	430	510	1,1503589772121703E-100
272	430	460	5,341340479533958E-102
273	430	480	1,0022488131933752E-102
274	430	460	2,843677773574166E-103
275	430	550	1,3431115681161144E-103
276	430	450	4,555692681708591E-105
277	430	460	2,589067895373405E-106
278	430	450	6,655288264150613E-107
279	430	540	7,035979456666712E-107
280	430	470	3,737493020946179E-108
281	430	460	1,9792032353504256E-109
282	430	470	1,96256943866923E-110
283	430	520	1,207055433336117E-111
284	430	530	3,3164037376030564E-113
285	430	570	8,158785520846124E-113
286	430	480	2,8037143804145982E-114
287	430	520	1,4460765534585784E-115
288	430	520	5,381535235654327E-113
289	430	510	2,398911350749099E-114
290	430	490	1,0731613671525634E-114
291	430	480	1,4343028007725586E-115
292	430	550	1,6881101597119713E-116
293	430	540	2,877995311085894E-108
294	430	460	1,9414065390990074E-109
295	430	540	6,229174849749496E-100
296	430	490	4,65186033019841E-94
297	430	500	3,7666369239582076E-95
298	430	480	3,1898639483998084E-96
299	430	550	1,2147981069695092E-96
300	430	490	9,654155574019172E-98
301	430	510	5,115955993300499E-99
302	430	460	2,4791405984227243E-100
303	430	620	2,3653380929560895E-101
304	430	490	5,909943513783923E-103
305	430	620	1,1378908180929802E-101
306	430	490	8,547810259217428E-103
307	430	490	5,65032256191965E-104
308	430	490	1,1740768450878245E-104
309	430	500	7,1260947606441725E-106
310	430	620	2,405838847646073E-106
311	430	650	1,9066981270091005E-107
312	430	500	6,8859675826195E-109
313	430	500	1,750065499771376E-109
314	430	570	2,3260650041418986E-110
315	430	500	4,781359519370079E-111
316	430	470	8,252431752088358E-112
317	430	530	2,812107897257495E-112
318	430	520	2,1953820364214818E-113
319	430	520	1,5709500575375283E-114
320	430	520	1,1759732137298721E-115
321	430	580	2,713570756666762E-117
322	430	550	1,994603979510693E-118
323	430	630	6,906594415474877E-120
324	430	570	4,157832969759902E-121
325	430	520	1,1286345390719934E-122
326	430	560	1,7510344914567766E-123
327	430	600	6,844567300344392E-125
328	430	460	1,2139469581852779E-126
329	430	510	1,4616820779656117E-127
330	430	550	8,165702858330346E-129
331	430	550	1,4616113804620616E-130
332	430	600	4,07342373568848E-131
333	430	540	1,976893172678105E-132
334	430	500	6,021106811638175E-134
335	430	520	7,65968335349369E-135
336	430	510	5,1986586048285504E-136
337	430	510	5,720917434321E-137
338	430	520	2,249871643884376E-138
339	430	490	4,729293391316111E-139
340	430	550	1,2276300401976467E-140
341	430	580	2,184863177734728E-142
342	430	520	3,858778967728774E-144
343	430	510	6,3103859157921084E-145
344	430	510	7,326271936952838E-146
345	430	550	5,038622812981551E-147
346	430	520	1,7998210007903566E-148
347	430	550	6,345616800788896E-150
348	430	510	1,1890099048311951E-151
349	430	490	1,0712147549698188E-146
350	430	480	3,1230618977953935E-148
351	430	510	8,5561117845677E-150
352	430	490	2,1587681349154277E-151
353	430	540	1,9266071167914008E-145
354	430	510	1,2956522840179711E-145
355	430	500	6,605347628561982E-147
356	430	520	1,2185502221432981E-148
357	430	500	2,9757498841792107E-150
358	430	500	7,253424919227688E-152
359	430	520	1,323680953500392E-153
360	430	500	2,3897741884407062E-155
361	430	490	4,347332284984553E-157
362	430	480	1,364009111928145E-157
363	430	490	2,617630262524018E-158
364	430	480	1,831951058821807E-159
365	430	530	3,331675217133783E-161
366	430	480	1,6866951138516687E-162
367	430	470	3,0691489388694118E-164
368	430	510	4,417813621745539E-164
369	430	510	2,4230243055454334E-165
370	430	500	9,97614501358354E-167
371	430	560	4,15575417539393E-167
372	430	510	1,9749737139872275E-168
373	430	540	7,485046493738766E-170
374	430	480	1,7731572164812665E-171
375	430	510	3,2420514061223E-173
376	430	500	6,9540389140371015E-162
377	430	490	3,132060626351805E-163
378	430	540	8,940520173935643E-165
379	430	570	1,2855976486888694E-165
380	430	560	7,086922208665335E-167
381	430	530	3,0350812420726364E-168
382	430	580	5,464556799508968E-170
383	430	450	4,43164134551181E-171
384	430	450	8,29680304153252E-173
385	430	440	1,53979462238458E-174
386	430	450	1,1505195027712298E-173
387	430	440	1,7314236645485284E-174
388	430	480	3,1765521018601806E-176
389	430	500	1,0026547659148437E-177
390	430	510	4,9030081926386555E-179
391	430	440	1,3501313610887823E-180
392	430	600	1,6048939779515228E-181
393	430	480	3,6313679233924E-183
394	430	460	9,022793688176588E-185
395	430	510	3,800078474356476E-186
396	430	440	1,6145042608196452E-183
397	430	500	1,517003271184961E-184
398	430	480	3,650225981134262E-186
399	430	510	8,792777616345994E-188
400	430	480	2,0299131681032795E-189
401	430	520	3,6687606007467163E-191
402	430	510	6,523329547683542E-193
403	430	520	1,3588661523861509E-194
404	430	470	3,497051198408233E-196
405	430	530	3,9343936779257117E-197
406	430	530	7,179005508913142E-199
407	430	520	1,0346037291146237E-200
408	430	530	1,9901192437284358E-202
409	430	540	3,750195296917567E-204
410	430	490	1,5059170089749728E-203
411	430	470	1,0814871235230086E-204
412	430	490	2,037470282746091E-206
413	430	520	2,083394281780722E-207
414	430	510	3,0024875875499164E-209
415	430	520	5,75516048498852E-211
416	430	480	1,0817257907188378E-212
417	430	510	1,5589311577594939E-214
418	430	440	7,918703556968219E-216
419	430	570	1,1961770378443048E-204
420	430	580	2,376818713455426E-206
421	430	500	3,4253567591184265E-208
422	430	480	4,936459335672567E-210
423	430	510	7,438886175565804E-211
424	430	570	1,0720564802665512E-212
425	430	490	3,2782555238140975E-197
426	430	520	4,724464113751826E-199
427	430	530	8,66318303688199E-199
428	430	530	1,7800016929492062E-199
429	430	570	4,610441813424975E-201
430	430	520	8,8204545467224E-202
431	430	470	4,7637315783886166E-203
432	430	470	5,0119147033398276E-204
433	430	500	2,360598349242384E-205
434	430	540	6,033856087965918E-207
435	430	560	7,168213287044401E-204
436	430	560	3,2519560120493995E-205
437	430	560	8,17240912699064E-207
438	430	540	2,1093611632983166E-204
439	430	540	1,4375125291711013E-205
440	430	600	3,436866063091444E-207
441	430	540	1,1464644614286012E-208
442	430	560	9,21291863581488E-210
443	430	530	1,3767945806085593E-195
444	430	540	2,945023850173495E-196
445	430	540	1,5294464453854332E-197
446	430	610	4,91283389245762E-199
447	430	570	1,4392971727546296E-200
448	430	520	3,7893822282335516E-202
449	430	520	1,7822819069372764E-203
450	430	580	4,526378521165078E-205
451	430	570	1,0625837614547954E-206
452	430	550	3,716288562456496E-205
453	430	520	1,4619147289835215E-206
454	430	520	1,530185970623908E-207
455	430	540	3,736790198838488E-209
456	430	650	1,7489689516073327E-209
457	430	590	5,347487774899544E-211
458	430	510	1,2722200524217065E-212
459	430	530	3,1918964739992637E-214
460	430	490	2,5760645204319105E-215
461	430	590	1,5059150935851167E-216
462	430	530	3,3470660344572224E-218
463	430	500	1,432766210207451E-219
464	430	600	3,395492204736695E-221
465	430	560	7,395109780548768E-223
466	430	500	1,3263156568366122E-224
467	430	520	3,307730882059737E-226
468	430	540	7,426404535727543E-196
469	430	520	4,6628846869224847E-197
470	430	500	1,5781434669978895E-198
471	430	540	3,926994306212586E-200
472	430	500	9,22032557085973E-202
473	430	520	4,247827047020878E-203
474	430	490	9,900840348681179E-205
475	430	480	2,350223803665535E-206
476	430	550	5,564524831421342E-208
477	430	530	2,054075674012407E-209
478	430	500	3,8674506272337526E-211
479	430	460	1,5366701977008688E-210
480	430	560	2,214575145522236E-212
481	430	540	7,62285233519592E-214
482	430	550	3,0982777262147663E-215
483	430	520	4,465088772246767E-217
484	430	530	6,43487108187736E-219
485	430	520	1,7204034501814772E-220
486	430	470	4,856909986234234E-222
487	430	550	1,4057022250198762E-222
488	430	570	1,117336193641776E-223
489	430	510	3,0527091243471425E-225
490	430	540	1,841599519967216E-221
491	430	510	9,267660329588047E-223
492	430	520	1,9994808954029195E-224
493	430	500	4,379277792615387E-226
494	430	520	6,311204427191863E-228
495	430	540	3,9200375069079736E-229
496	430	570	8,017665071905535E-231
497	430	560	2,9736089558769895E-232
498	430	530	4,2854221394026226E-234
499	430	520	1,5949348996966277E-235
500	430	540	3,186937509672163E-237
501	430	580	3,800214121482333E-213
502	430	570	5,476685728459506E-215
503	430	540	4,2073489378266805E-212
504	430	510	1,4746655203932806E-213
505	430	540	4,542083558011573E-215
506	430	570	5,901710104905919E-189
507	430	570	1,9519701752168603E-190
508	430	510	3,575664144314185E-192
509	430	490	2,9501427905765497E-192
510	430	520	6,872937489125194E-194
511	430	570	2,9421909414129155E-195
512	430	530	4,604891693490509E-196
513	430	580	6,636348324763317E-198
514	430	520	1,8140417221801654E-199
515	430	580	2,614309639694442E-201
516	430	500	3,767617254130882E-203
517	430	510	2,5075665211586725E-204
518	430	530	3,3812104913782756E-205
519	430	490	4,872837858890376E-207
520	430	550	2,993599373590328E-208
521	430	670	1,0690575375684628E-209
522	430	520	2,1115763503211376E-211
523	430	550	4,4208568010010687E-212
524	430	500	1,3965166589091076E-213
525	430	540	4,207453672447787E-215
526	430	550	8,156276611528956E-217
527	430	560	1,707099676219623E-218
528	430	510	3,4008342004592863E-220
529	430	460	9,688726320671866E-221
530	430	460	9,269559091506788E-215
531	430	500	1,8777852021850546E-216
532	430	500	3,6042794856092584E-218
533	430	580	1,8988228447304056E-219
534	430	610	4,627387537559458E-221
535	430	460	1,4743235425950147E-222
536	430	610	1,5457153036442756E-223
537	430	510	2,9314508079372565E-225
538	430	490	5,741204725221116E-227
539	430	460	8,273947987572343E-229
540	430	460	1,7380405964307367E-230
541	430	550	1,1930637374930595E-231
542	430	610	2,2259830171529128E-233
543	430	550	1,3680055389733915E-234
544	430	570	2,6725688979899753E-236
545	430	510	3,851577693795087E-238
546	430	550	8,004233052107093E-240
547	430	570	1,5650110860677015E-240
548	430	550	1,3155170605866388E-223
549	430	490	8,11767121147519E-225
550	430	510	2,3712267285741428E-226
551	430	490	6,269115851360593E-228
552	430	620	1,174749144200223E-229
553	430	520	3,574501823202922E-231
554	430	600	1,0755412140531094E-232
555	430	550	3,9799839376573777E-234
556	430	510	1,4827672759988748E-226
557	430	540	2,922254231560477E-228
558	430	500	5,54759451393941E-230
559	430	570	1,687685076191441E-231
560	430	480	4,346427803749306E-233
561	430	450	1,1778279891169944E-234
562	430	550	8,573874623926205E-234
563	430	500	1,9926519169398363E-235
564	430	460	4,793109910573209E-237
565	430	520	1,1796326440734574E-238
566	430	470	2,696836109046064E-240
567	430	460	4,959335753894339E-242
568	430	490	1,2544377326922517E-243
569	430	480	2,9929136685880863E-245
570	430	590	7,107979003393816E-247
571	430	520	1,0243677309133355E-248
572	430	560	4,696194583417703E-249
573	430	490	2,5257943244882518E-250
574	430	500	4,730258667147057E-252
575	430	550	8,741681884750167E-254
576	430	470	3,2251054932442884E-255
577	430	560	1,0963241954771195E-256
578	430	560	2,329094699092804E-258
579	430	480	6,103590172212132E-260
580	430	490	1,008831169130534E-248
581	430	500	3,268789634065764E-250
582	430	490	9,176728861418929E-252
583	430	520	1,6990766935015303E-253
584	430	490	1,4215972447694235E-247
585	430	490	2,423755834996425E-248
586	430	450	6,915144039995192E-250
587	430	450	1,2843754683993701E-251
588	430	580	5,2426335637998037E-253
589	430	570	7,555431220598048E-255
590	430	590	5,412569494248796E-256
591	430	490	7,800334706373064E-258
592	430	600	1,675643739095651E-259
593	430	520	7,73448639695177E-261
594	430	540	1,5189672575402134E-262
595	430	530	2,890427618267506E-264
596	430	530	1,2480474693426843E-265
597	430	510	3,96897431484474E-267
598	430	550	7,412941161772859E-269
599	430	570	1,0683174097241505E-270
600	430	570	2,03119839534192E-272
601	430	480	5,672352881906781E-274
602	430	480	1,184566802874658E-275
603	430	540	4,4951525562631674E-277
604	430	490	9,883660332584826E-279
605	430	430	8,093935593415796E-279
606	430	490	1,3302242221665755E-259
607	430	440	2,712787424074503E-261
608	430	530	2,6794689387447344E-261
609	430	440	7,998514454679698E-263
610	430	520	5,6711199043252964E-264
611	430	500	4,4856457996690706E-263
612	430	440	5,5364635860925435E-264
613	430	480	2,233691351838179E-265
614	430	550	1,2047721964197393E-266
615	430	490	3,546392637083223E-268
616	430	570	1,1020221999944253E-269
617	430	450	2,810351330016916E-271
618	430	530	1,283828183013624E-272
619	430	500	1,8501914005209298E-274
620	430	440	4,932142417017241E-276
621	430	510	1,9331621897627574E-277
622	430	490	5,6533095892274605E-279
623	430	440	1,131298333509221E-280
624	430	510	7,732202228923413E-282
625	430	450	1,5349545356099965E-283
626	430	440	4,898412560581142E-285
627	430	440	1,4153887288768608E-286
628	430	450	3,805729680450214E-288
629	430	480	7,144836834398163E-290
630	430	510	4,7594012030733374E-285
631	430	480	8,586062830669478E-287
632	430	480	1,2373820596730484E-288
633	430	440	2,3787415158161165E-290
634	430	440	6,417488061019976E-287
635	430	510	2,8907671928682464E-288
636	430	450	5,250328033523144E-290
637	430	440	2,843142488012986E-291
638	430	440	5,283039534417516E-293
639	430	440	9,749520408143802E-295
640	430	500	1,7898159474517685E-296
641	430	440	2,57939661888178E-298
642	430	440	1,865944611886703E-299
643	430	480	3,534290978973749E-301
644	430	500	6,489114912523039E-303
645	430	440	1,3168556422553145E-303
646	430	520	6,841828000345248E-305
647	430	440	1,221338148442849E-306
648	430	590	8,807934031636693E-305
649	430	440	1,8618330631160425E-306
650	430	460	8,909718712287948E-299
651	430	500	2,377088505100182E-300
652	430	450	2,325115879187178E-301
653	430	470	4,3415680377063245E-303
654	430	570	3,6397958721573556E-304
655	430	500	8,281272343881194E-306
656	430	450	4,68399520802411E-307
657	430	500	5,094237741882065E-308
658	430	460	1,91736862426423E-309
659	430	570	3,5865196252263E-311
660	430	500	1,348699968436E-312
661	430	460	4,917146383E-314
662	430	440	9,1209667E-316
663	430	460	3,2011887E-317
664	430	460	5,85843E-319
665	430	510	1,0687E-320
666	430	490	1,93E-322
667	430	530	5E-324
668	430	490	0
669	430	490	0
670	430	480	0
671	430	460	0
672	430	460	0
673	430	550	0
674	430	500	0
675	430	480	0
676	430	470	0
677	430	510	0
678	430	460	0
679	430	460	0
680	430	430	0
681	430	530	0
682	430	540	0
683	430	470	0
684	430	480	0
685	430	490	0
686	430	570	0
687	430	460	0
688	430	470	0
689	430	460	0
690	430	460	0
691	430	460	0
692	430	480	0
693	430	460	0
694	430	550	0
695	430	460	0
696	430	470	0
697	430	460	0
698	430	460	0
699	430	560	0
700	430	470	0
701	430	470	0
702	430	470	0
703	430	460	0
704	430	470	0
705	430	460	0
706	430	460	0
707	430	460	0
708	430	550	0
709	430	470	0
710	430	510	0
711	430	550	0
712	430	500	0
713	430	470	0
714	430	490	0
715	430	480	0
716	430	470	0
717	430	490	0
718	430	480	0
719	430	480	0
720	430	490	0
721	430	470	0
722	430	480	0
723	430	470	0
724	430	480	0
725	430	470	0
726	430	460	0
727	430	470	0
728	430	580	0
729	430	480	0
730	430	460	0
731	430	470	0
732	430	500	0
733	430	550	0
734	430	570	0
735	430	560	0
736	430	590	0
737	430	560	0
738	430	470	0
739	430	460	0
740	430	470	0
741	430	470	0
742	430	550	0
743	430	540	0
744	430	470	0
745	430	460	0
746	430	560	0
747	430	480	0
748	430	490	0
749	430	510	0
750	430	550	0
751	430	480	0
752	430	530	0
753	430	450	0
754	430	530	0
755	430	430	0
756	430	520	0
757	430	520	0
758	430	450	0
759	430	470	0
760	430	530	0
761	430	530	0
762	430	470	0
763	430	440	0
764	430	440	0
765	430	450	0
766	430	510	0
767	430	450	0
768	430	500	0
769	430	450	0
770	430	500	0
771	430	450	0
772	430	450	0
773	430	480	0
774	430	480	0
775	430	450	0
776	430	440	0
777	430	450	0
778	430	460	0
779	430	440	0
780	430	450	0
781	430	450	0
782	430	490	0
783	430	440	0
784	430	480	0
785	430	570	0
786	430	550	0
787	430	500	0
788	430	440	0
789	430	450	0
790	430	530	0
791	430	490	0
792	430	570	0
793	430	450	0
794	430	570	0
795	430	480	0
796	430	510	0
797	430	500	0
798	430	510	0
799	430	550	0
800	430	550	0
801	430	490	0
802	430	490	0
803	430	450	0
804	430	550	0
805	430	490	0
806	430	590	0
807	430	580	0
808	430	570	0
809	430	500	0
810	430	560	0
811	430	640	0
812	430	580	0
813	430	580	0
814	430	570	0
815	430	610	0
816	430	520	0
817	430	610	0
818	430	500	0
819	430	510	0
820	430	520	0
821	430	610	0
822	430	530	0
823	430	520	0
824	430	580	0
825	430	630	0
826	430	600	0
827	430	500	0
828	430	600	0
829	430	570	0
830	430	570	0
831	430	570	0
832	430	530	0
833	430	540	0
834	430	630	0
835	430	580	0
836	430	480	0
837	430	540	0
838	430	540	0
839	430	610	0
840	430	510	0
841	430	520	0
842	430	550	0
843	430	550	0
844	430	520	0
845	430	520	0
846	430	540	0
847	430	560	0
848	430	550	0
849	430	590	0
850	430	540	0
851	430	520	0
852	430	500	0
853	430	510	0
854	430	510	0
855	430	540	0
856	430	520	0
857	430	540	0
858	430	590	0
859	430	570	0
860	430	590	0
861	430	520	0
862	430	530	0
863	430	560	0
864	430	560	0
865	430	550	0
866	430	530	0
867	430	510	0
868	430	540	0
869	430	540	0
870	430	500	0
871	430	470	0
872	430	520	0
873	430	490	0
874	430	470	0
875	430	510	0
876	430	640	0
877	430	590	0
878	430	550	0
879	430	520	0
880	430	590	0
881	430	560	0
882	430	530	0
883	430	560	0
884	430	540	0
885	430	490	0
886	430	500	0
887	430	530	0
888	430	530	0
889	430	540	0
890	430	470	0
891	430	480	0
892	430	530	0
893	430	460	0
894	430	520	0
895	430	500	0
896	430	480	0
897	430	500	0
898	430	510	0
899	430	520	0
900	430	480	0
901	430	500	0
902	430	500	0
903	430	520	0
904	430	460	0
905	430	500	0
906	430	520	0
907	430	480	0
908	430	520	0
909	430	480	0
910	430	500	0
911	430	490	0
912	430	460	0
913	430	540	0
914	430	510	0
915	430	540	0
916	430	490	0
917	430	470	0
918	430	460	0
919	430	550	0
920	430	490	0
921	430	500	0
922	430	520	0
923	430	590	0
924	430	610	0
925	430	460	0
926	430	470	0
927	430	460	0
928	430	520	0
929	430	500	0
930	430	580	0
931	430	510	0
932	430	590	0
933	430	470	0
934	430	520	0
935	430	510	0
936	430	490	0
937	430	470	0
938	430	470	0
939	430	460	0
940	430	470	0
941	430	490	0
942	430	520	0
943	430	470	0
944	430	500	0
945	430	480	0
946	430	470	0
947	430	550	0
948	430	520	0
949	430	480	0
950	430	500	0
951	430	500	0
952	430	460	0
953	430	510	0
954	430	470	0
955	430	500	0
956	430	480	0
957	430	490	0
958	430	570	0
